canonical_id,scenario,case_detail,gateway_transaction_id,bank_utr,ledger_invoice_id,expected_relationship,expected_outcome
CAN_00069,noisy,,TXN_00069,UTR_30743797,INV_00069,MATCH,REVIEW
CAN_00070,noisy,,TXN_00070,UTR_13326769,INV_00070,MATCH,REVIEW
CAN_00071,ambiguous,,TXN_00071,UTR_45810056,INV_00071,MATCH,REVIEW
CAN_00072,ambiguous,,TXN_00072,UTR_15197528,INV_00072,MATCH,REVIEW
CAN_00073,ambiguous,,TXN_00073,UTR_50962024,INV_00073,MATCH,REVIEW
CAN_00074,ambiguous,,TXN_00074,UTR_63481198,INV_00074,MATCH,REVIEW
CAN_00075,ambiguous,,TXN_00075,UTR_96098221,INV_00075,MATCH,REVIEW
CAN_00076,ambiguous,,TXN_00076,UTR_13704481,INV_00076,MATCH,REVIEW
CAN_00077,ambiguous,,TXN_00077,UTR_15134794,INV_00077,MATCH,REVIEW
CAN_00078,ambiguous,,TXN_00078,UTR_68571795,INV_00078,MATCH,REVIEW
CAN_00079,ambiguous,,TXN_00079,UTR_44188276,INV_00079,MATCH,REVIEW
CAN_00080,ambiguous,,TXN_00080,UTR_58884978,INV_00080,MATCH,REVIEW
CAN_00081,amount_discrepancy,,TXN_00081,UTR_99038359,INV_00081,MATCH,EXCEPTION
CAN_00082,amount_discrepancy,,TXN_00082,UTR_53779528,INV_00082,MATCH,EXCEPTION
CAN_00083,amount_discrepancy,,TXN_00083,UTR_66431351,INV_00083,MATCH,EXCEPTION
CAN_00084,amount_discrepancy,,TXN_00084,UTR_50392808,INV_00084,MATCH,EXCEPTION
CAN_00085,amount_discrepancy,,TXN_00085,UTR_67698610,INV_00085,MATCH,EXCEPTION
CAN_00086,amount_discrepancy,,TXN_00086,UTR_69345683,INV_00086,MATCH,EXCEPTION
CAN_00087,amount_discrepancy,,TXN_00087,UTR_98429450,INV_00087,MATCH,EXCEPTION
CAN_00088,amount_discrepancy,,TXN_00088,UTR_41523529,INV_00088,MATCH,EXCEPTION
CAN_00089,amount_discrepancy,,TXN_00089,UTR_16202700,INV_00089,MATCH,EXCEPTION
CAN_00090,amount_discrepancy,,TXN_00090,UTR_94525678,INV_00090,MATCH,EXCEPTION
CAN_00091,missing_or_duplicate,missing_record,TXN_00091,,INV_00091,INCOMPLETE,INCOMPLETE
CAN_00092,missing_or_duplicate,duplicate_candidate,TXN_00092,UTR_39372360,INV_00092,INCOMPLETE,REVIEW
CAN_00093,missing_or_duplicate,duplicate_candidate,TXN_00093,UTR_99600766,INV_00093,INCOMPLETE,REVIEW
CAN_00094,missing_or_duplicate,duplicate_candidate,TXN_00094,UTR_31361812,INV_00094,INCOMPLETE,REVIEW
CAN_00095,missing_or_duplicate,duplicate_candidate,TXN_00095,UTR_94120751,INV_00095,INCOMPLETE,REVIEW
CAN_00096,missing_or_duplicate,missing_record,TXN_00096,,INV_00096,INCOMPLETE,INCOMPLETE
CAN_00097,missing_or_duplicate,duplicate_candidate,TXN_00097,UTR_38716269,INV_00097,INCOMPLETE,REVIEW
CAN_00098,missing_or_duplicate,missing_record,TXN_00098,UTR_66390708,,INCOMPLETE,INCOMPLETE
CAN_00099,missing_or_duplicate,missing_record,TXN_00099,UTR_66240084,,INCOMPLETE,INCOMPLETE
CAN_00100,missing_or_duplicate,duplicate_candidate,TXN_00100,UTR_62191530,INV_00100,INCOMPLETE,REVIEW
